,Unnamed: 0,Movie_Title,Release_Year,URL_Movie_Names,Rottentomatoes_URLs,Rating,Genre,Original Language,Director,Producer,Cast and Crew,Writer,Release Date (Theaters),Release Date (Streaming),Rerelease Date (Theaters),Box Office (Gross USA),Runtime,Distributor,Production Co,Sound Mix,Aspect Ratio,Synopsis,Tomatometer,Tomatometer State,Audience Score,Critics Concensus,View the collection,Release Date (DVD)
0,0,12 Years a Slave,2013,12_years_a_slave,https://www.rottentomatoes.com/m/12_years_a_slave,R (Some Nudity|Brief Sexuality|Violence/Cruelty),"History, Drama, Biography",English,Steve McQueen,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas","Chiwetel Ejiofor (Solomon Northup), Michael Fassbender (Edwin Epps), Benedict Cumberbatch (William Ford), Paul Dano (Tibeats), Garret Dillahunt (Armsby), Paul Giamatti (Theophilus Freeman), Scoot McNairy (Brown), Lupita Nyong'o (Patsey), Adepero Oduye (Eliza), Sarah Paulson (Mistress Epps), Brad Pitt (Bass), Michael Kenneth Williams (Robert), Alfre Woodard (Mistress Shaw), Chris Chalk (Clemens), Taran Killam (Hamilton), Bill Camp (Radburn), Kelsey Scott (Anne Northup), Quvenzhané Wallis (Margaret Northup), Cameron Zeigler (Alonzo Northup), Steve McQueen (Director), John Ridley (Screenwriter), Brad Pitt (Producer), Dede Gardner (Producer), Jeremy Kleiner (Producer), Bill Pohlad (Producer), Steve McQueen (Producer), Arnon Milchan (Producer), Anthony Katagas (Producer), John Ridley (Executive Producer), Tessa Ross (Executive Producer), Hans Zimmer (Original Music), Sean Bobbitt (Cinematographer), Joe Walker (Film Editing), Francine Maisler (Casting), Adam Stockhausen (Production Design), David Stein (Art Director), Alice Baker (Set Decoration), Patricia Norris (Costume Design)",John Ridley,"Oct 18, 2013 limited","Aug 31, 2015","Jan 17, 2014",$56.7M,2h 14m,Fox Searchlight,"River Road, New Regency Pictures, Plan B Entertainment","Datasat, Dolby Digital",,"
                    In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.
                ",95,certified-fresh,90,"It's far from comfortable viewing, but 12 Years a Slave's unflinchingly brutal look at American slavery is also brilliant -- and quite possibly essential -- cinema.",,
1,1,127 Hours,2010,127_hours,https://www.rottentomatoes.com/m/127_hours,R (Disturbing Violent Content|Bloody Images|Language),"Biography, Drama",English,Danny Boyle,"Christian Colson, Danny Boyle, John Smithson","James Franco (Aron Ralston), Amber Tamblyn (Megan), Kate Mara (Kristi), Clémence Poésy (Rana), Treat Williams (Aron's Dad), Kate Burton (Aron's Mom), Lizzy Caplan (Sonja), John Lawrence (Brian), Danny Boyle (Director), Simon Beaufoy (Screenwriter), Danny Boyle (Screenwriter), Christian Colson (Producer), Danny Boyle (Producer), John Smithson (Producer), Bernard Bellew (Executive Producer), John J. Kelly (Executive Producer), François Ivernel (Executive Producer), Cameron McCracken (Executive Producer), Lisa Marie Falcone (Executive Producer), Tessa Ross (Executive Producer), Anthony Dod Mantle (Cinematographer), Enrique Chediak (Cinematographer), Jon Harris (Film Editing), A.R. Rahman (Original Music), Suttirat Anne Larlarb (Production Design), Christopher R. DeMuri (Art Director), Les Boothe (Set Decoration), Suttirat Anne Larlarb (Costume Design)","Simon Beaufoy, Danny Boyle","Jan 28, 2011 wide","Nov 25, 2015",,$18.3M,1h 33m,Fox Searchlight,"Cloud Eight, Darlow Smithson Productions","SDDS, Dolby Digital, DTS",,"
                    While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, ""Between a Rock and a Hard Place.""
                ",93,certified-fresh,85,"As gut-wrenching as it is inspirational, 127 Hours unites one of Danny Boyle's most beautifully exuberant directorial efforts with a terrific performance from James Franco.",,
2,2,13 Hours,2016,13_hours_the_secret_soldiers_of_benghazi,https://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi,R (Language|Bloody Images|Strong Combat Violence),"War, Mystery & thriller, Drama",English,Michael Bay,"Erwin Stoff, Michael Bay","James Badge Dale (Tyrone ""Rone"" Woods), John Krasinski (Jack Silva), Max Martini (Mark ""Oz"" Geist), Pablo Schreiber (Kris ""Tanto"" Paronto), Toby Stephens (Glen ""Bub"" Doherty), Dominic Fumusa (John ""Tig"" Tiegen), Matt Letscher (Ambassador Chris Stevens), David Denman (Dave ""Boon"" Benton), David Costabile (Bob), David Giuntoli (DS Scott Wickland), Demetrius Grosse (DS Dave Ubben), Alexia Barlier (Sona Jillani), Peyman Moaadi (Amahl), Christopher Dingli (Sean Smith), Freddie Stroma (Brit Vaynor), Michael Bay (Director), Chuck Hogan (Screenwriter), Erwin Stoff (Producer), Michael Bay (Producer), Scott Gardenhour (Executive Producer), Richard Abate (Executive Producer), Matthew Cohan (Executive Producer), Dion Beebe (Cinematographer), Pietro Scalia (Film Editing), Calvin Wimmer (Film Editing), Lorne Balfe (Original Music), Jeffrey Beecroft (Production Design), Sebastian Schroder (Supervising Art Direction), Monica Sallustio (Art Director), Charlo Dalli (Art Director), Stefano Maria Ortolani (Art Director), Karen Frick (Set Decoration), Deborah Lynn Scott (Costume Design)",Chuck Hogan,"Jan 15, 2016 wide","May 24, 2016",,$52.8M,2h 24m,Paramount Pictures,"3 Arts Entertainment, Bay Films","Datasat, Dolby Digital, Dolby Atmos",Scope (2.35:1),"
                    On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.
                ",51,rotten,82,"13 Hours: The Secret Soldiers of Benghazi is a comparatively mature and restrained effort from Michael Bay, albeit one that can't quite boast the impact its fact-based story deserves.",,
3,3,13th,2016,13th,https://www.rottentomatoes.com/m/13th,,Documentary,English,Ava DuVernay,"Spencer Averick, Howard Barish, Ava DuVernay","Michelle Alexander (Self), Bryan Stevenson (Self), Van Jones (Self), Newt Gingrich (Self), Grover Norquist (Self), Angela Davis (Self), Ava DuVernay (Director), Spencer Averick (Writer), Ava DuVernay (Writer), Spencer Averick (Producer), Howard Barish (Producer), Ava DuVernay (Producer), Ben Cotner (Executive Producer), Adam Del Deo (Executive Producer), Lisa Nishimura (Executive Producer), Jason Sterman (Executive Producer), Hans Charles (Cinematographer), Spencer Averick (Film Editing), Jason Moran (Original Music)","Spencer Averick, Ava DuVernay",,"May 23, 2017",,,1h 40m,,Netflix,,,"
                    Filmmaker Ava DuVernay explores the history of racial inequality in the United States, focusing on the fact that the nation's prisons are disproportionately filled with African-Americans.
                ",97,certified-fresh,90,"13th strikes at the heart of America's tangled racial history, offering observations as incendiary as they are calmly controlled.",,
4,4,1917,2019,1917,https://www.rottentomatoes.com/m/1917_2019,R (Some Disturbing Images|Language|Violence),"War, History, Drama",English,Sam Mendes,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall, Brian Oliver","George MacKay (Lance Corporal Schofield), Dean-Charles Chapman (Lance Corporal Blake), Mark Strong (Captain Smith), Andrew Scott (Lieutenant Leslie), Richard Madden (Lieutenant Joseph Blake), Claire Duburcq (Lauri), Colin Firth (General Erinmore), Benedict Cumberbatch (Colonel Mackenzie), Daniel Mays (Sergeant Sanders), Adrian Scarborough (Major Hepburn), Jamie Parker (Lieutenant Richards), Nabhaan Rizwan (Sepoy Jondalar), Pip Carter (Lieutenant Gordon), Andy Apollo (Sergeant Miller), Paul Tinto (NCO Baker), Josef Davies (Private Stokes), Billy Postlethwaite (NCO Harvey), Gabriel Akuwudike (Private Buchanan), Spike Leighton (Private Kilgour), Robert Maaser (German Pilot), Sam Mendes (Director), Sam Mendes (Screenwriter), Krysty Wilson-Cairns (Screenwriter), Sam Mendes (Producer), Pippa Harris (Producer), Callum McDougall (Producer), Brian Oliver (Producer), Jeb Brody (Producer), Oleg Petrov (Executive Producer), Ignacio Salazar-Simpson (Executive Producer), Ricardo Marco Budé (Executive Producer), Roger Deakins (Executive Producer), Lee Smith (Cinematographer), Thomas Newman (Film Editing), Dennis Gassner (Original Music), Niall Moroney (Production Design), Lee Sandales (Supervising Art Direction), Jacqueline Durran (Set Decoration), David Crossman (Costume Design), New on Prime Video and Freevee in September 2022 (Costume Design)","Sam Mendes, Krysty Wilson-Cairns","Jan 10, 2020 wide","Dec 25, 2019",,$159.2M,1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",Dolby Atmos,Scope (2.35:1),"
                    During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.
                ",89,certified-fresh,88,"Hard-hitting, immersive, and an impressive technical achievement, 1917 captures the trench warfare of World War I with raw, startling immediacy.",,
5,5,20 Days in Mariupol,2023,20_days_in_mariupol,https://www.rottentomatoes.com/m/20_days_in_mariupol,,"Documentary, War",Ukrainian,Mstyslav Chernov,"Raney Aronson, Mstyslav Chernov, Michelle Mizner, Derl McCrudden","Mstyslav Chernov (Narrator), Evgeniy Maloletka (Self), Mstyslav Chernov (Director), Mstyslav Chernov (Writer), Raney Aronson (Producer), Mstyslav Chernov (Producer), Michelle Mizner (Producer), Derl McCrudden (Producer), Mstyslav Chernov (Cinematographer), Michelle Mizner (Film Editing), Michelle Mizner (Film Editor)",Mstyslav Chernov,"Jul 14, 2023 limited",,,,1h 34m,PBS Distribution,,,,"
                    As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.
                ",100,certified-fresh,97,20 Days in Mariupol offers a grueling but vital look at the devastating impact of war.,,
6,6,20 Feet from Stardom,2013,20_feet_from_stardom,https://www.rottentomatoes.com/m/20_feet_from_stardom,PG-13 (Some Strong Language|Sexual Material),Documentary,English,Morgan Neville,"Gil Friesen, Caitrin Rogers, Morgan Neville","David Bowie (Self), Ray Charles (Self), Sheryl Crow (Self), Lou Adler (Self), Patti Austin (Self), Chris Botti (Self), Morgan Neville (Director), George Conrades (Executive Producer), Art Bilger (Executive Producer), Peter Morton (Executive Producer), Joel S. Ehrenkranz (Executive Producer), Gil Friesen (Producer), Caitrin Rogers (Producer), Morgan Neville (Producer), Nicola Marsh (Cinematographer), Graham Willoughby (Cinematographer)",,"Jun 14, 2013 limited","Feb 14, 2017",,$4.9M,1h 30m,Radius TWC,Tremolo Productions,,,"
                    Filmmaker Morgan Neville shines a long-overdue spotlight on the hit-making contributions of longtime backup singers like Darlene Love and Merry Clayton.
                ",99,certified-fresh,82,"Rich, insightful, and occasionally heartbreaking, 20 Feet From Stardom is an energetic tribute to the passion, talent, and hard work of backup singers.",,
7,7,20th Century Women,2016,20th_century_women,https://www.rottentomatoes.com/m/20th_century_women,R (Language|Brief Drug Use|Sexual Material|Some Nudity),"Comedy, Drama",English,Mike Mills,"Anne Carey, Megan Ellison, Youree Henley","Annette Bening (Dorothea), Elle Fanning (Julie), Greta Gerwig (Abbie), Billy Crudup (William), Lucas Jade Zumann (Jamie), Alison Elliott (Julie's Mother), Thea Gill (Abbie's Mother), Vitaly Andrew LeBeau (Young Jamie), Olivia Hone (Julie's Sister), Waleed Zuaiter (Charlie), Curran Walters (Matt), Darrell Britt-Gibson (Julian), Alia Shawkat (Trish), Nathalie Love (Cindy), Mike Mills (Director), Mike Mills (Screenwriter), Anne Carey (Producer), Megan Ellison (Producer), Youree Henley (Producer), Chelsea Barnard (Executive Producer), Sean Porter (Cinematographer), Leslie Jones (Film Editing), Roger Neill (Original Music), Chris Jones (Production Design), Jennifer Johnson (Costume Design), Laura Rosenthal (Casting), Mark Bennett (Casting)",Mike Mills,"Jan 20, 2017 wide","Apr 14, 2017",,$5.7M,1h 58m,A24,"Annapurna Pictures, Modern People, Archer Gray",Dolby Digital,,"
                    In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.
                ",88,certified-fresh,74,20th Century Women offers Annette Bening a too-rare opportunity to shine in a leading role -- and marks another assured step forward for writer-director Mike Mills.,,
8,8,4.1 Miles,2016,41_miles,https://www.rottentomatoes.com/m/41_miles,,Documentary,Greek,Daphne Matziaraki,,"Daphne Matziaraki (Director), Kathleen Lingo (Executive Producer), William Ryan Fritch (Original Music), Daphne Matziaraki (Cinematographer), Daphne Matziaraki (Film Editing)",,,"Dec 22, 2017",,,26m,,"Graduate School of Journalism, University of California at Berkeley",,,"
                    The commander of a Coast Guard ship is charged with saving the lives of thousands of refugees.
                ",,,77,NaN,,
9,9,45 Years,2015,45_years,https://www.rottentomatoes.com/m/45_years,R (Language|Brief Sexuality),Drama,English,Andrew Haigh,Tristan Goligher,"Charlotte Rampling (Kate Mercer), Tom Courtenay (Geoff Mercer), Geraldine James (Lena), Dolly Wells (Charlotte), David Sibley (George), Sam Alexander (Chris), Richard Cunningham (Mr. Watkins), Hannah Chalmers (Travel Agent), Andrew Haigh (Director), Andrew Haigh (Screenwriter), Tristan Goligher (Producer), Lol Crawley (Cinematographer), Jonathan Alberts (Film Editing), Sarah Finlay (Production Design), Suzie Harman (Costume Design), Kahleen Crawford (Casting)",Andrew Haigh,"Dec 23, 2015 limited","Jun 14, 2016",,$4.3M,1h 33m,IFC Films,The Bureau,,,"
                    As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.
                ",97,certified-fresh,67,45 Years offers richly thought-provoking rewards for fans of adult cinema -- and a mesmerizing acting showcase for leads Charlotte Rampling and Tom Courtenay.,,
